Date,Account,Region,Service,ResourceId,UsageType,UsageAmount,UsageUnit,Cost,Currency,Operation,API,AvailabilityZone,PurchaseOption,MeterId,Project,Environment,Tags,BillingPeriod,InvoiceId
2025-06-06,acct-1001,eu-west-1,EKS,eks-6290,TimedStorage-ByteHrs,770.403,requests,126.788,USD,GetObject,SDK,us-west-2a,Reserved,MID21718,projA,staging,owner:devops,2025-06,INV644227
2025-05-22,acct-1003,eu-west-1,SNS,sns-2408,Requests,66.476,requests,7.2817,USD,RunInstances,CLI,us-west-2a,OnDemand,MID63420,projB,dev,team:alpha,2025-05,INV504027
2025-01-29,acct-1001,us-east-1,SNS,sns-7682,BoxUsage,607.561,requests,40.4682,USD,DescribeInstances,REST,us-east-1b,OnDemand,MID28579,projB,staging,,2025-01,INV731170
2025-06-30,acct-1002,us-west-2,S3,s3-1203,GB-Months,717.34,GB,135.4078,USD,Invoke,REST,us-east-1b,Reserved,MID84711,projB,staging,owner:devops,2025-06,INV329831
2025-09-12,acct-1002,ap-northeast-1,DynamoDB,dynamodb-3357,DataTransfer-Out,,requests,,USD,GetObject,SDK,us-east-1b,Reserved,MID23550,projA,prod,team:alpha,2025-09,INV143076
2025-09-03,acct-1001,us-east-1,ECR,ecr-6001,DataTransfer-Out,154.596,GB,16.5921,USD,GetObject,CLI,us-east-1a,OnDemand,MID76897,projA,dev,costcenter:42,2025-09,INV985482
2025-06-24,acct-1003,us-west-2,CloudFront,cloudfront-1890,Requests,299.449,requests,27.4662,USD,PutObject,CLI,us-west-2a,Spot,MID26730,projC,staging,costcenter:42,2025-06,INV753255
2025-06-24,acct-1002,us-west-2,CloudFront,cloudfront-2980,TimedStorage-ByteHrs,432.253,requests,5.2267,USD,DescribeInstances,REST,eu-west-1a,OnDemand,MID62929,projB,prod,,2025-06,INV395426
2025-01-27,acct-1002,ap-northeast-1,DynamoDB,dynamodb-3904,DataTransfer-Out,486.227,requests,$50.8736,USD,RunInstances,CLI,eu-west-1a,Spot,MID70042,projA,staging,team:alpha,2025-01,INV804818
2025-05-22,acct-1002,us-east-1,CloudFront,cloudfront-1383,GB-Months,,requests,113.6433,USD,RunInstances,CLI,eu-west-1a,Reserved,MID55848,projB,prod,,2025-05,INV985812
2025-03-30,acct-1003,ap-south-1,DynamoDB,dynamodb-6594,BoxUsage,428.866,requests,46.4376,USD,RunInstances,CLI,eu-west-1a,Spot,MID14663,projB,dev,,2025-03,INV251455
2025-03-29,acct-1003,eu-west-1,SQS,sqs-6421,GB-Months,134.268,requests,3.7843,USD,GetObject,SDK,us-east-1a,Spot,MID75321,projB,staging,team:alpha,2025-03,INV311184
2025-05-21,acct-1002,ap-south-1,RDS,rds-5117,DataTransfer-Out,517.303,requests,2.4476,USD,PutObject,SDK,us-west-2a,Spot,MID99152,projA,staging,owner:devops,2025-05,INV565024
2025-10-15,acct-1003,us-west-2,RDS,rds-8284,BoxUsage,,requests,$131.915,USD,PutObject,SDK,us-east-1a,Spot,MID37685,projB,staging,team:alpha,2025-10,INV133687
2025-09-28,acct-1003,ap-south-1,EKS,eks-2387,Requests,76.061,requests,10.8655,USD,RunInstances,REST,us-east-1a,OnDemand,MID18096,projA,prod,,2025-09,INV337965
2025-02-28,acct-1003,us-west-2,CloudFront,cloudfront-5143,BoxUsage,977.552,requests,124.4864,USD,DescribeInstances,SDK,us-west-2a,Reserved,MID24904,projA,dev,team:alpha,2025-02,INV319561
2025-03-30,acct-1001,us-west-2,EC2,ec2-9005,GB-Months,491.803,hours,74.0651,USD,Invoke,SDK,eu-west-1a,Spot,MID48181,projC,staging,,2025-03,INV224770
2025-06-23,acct-1002,ap-northeast-1,DynamoDB,dynamodb-5819,Requests,90.803,requests,5.8461,USD,RunInstances,REST,eu-west-1a,Reserved,MID13001,projB,dev,costcenter:42,2025-06,INV262446
2025-02-21,acct-1002,ap-south-1,DynamoDB,dynamodb-4202,TimedStorage-ByteHrs,449.763,requests,72.1732,USD,PutObject,SDK,us-west-2a,Spot,MID48820,projB,staging,,2025-02,INV441724
2025-10-15,acct-1003,us-west-2,RDS,rds-8284,BoxUsage,678.4,requests,$131.915,USD,PutObject,SDK,us-east-1a,Spot,MID37685,projB,staging,team:alpha,2025-10,INV133687
2025-03-24,acct-1001,us-east-1,Lambda,lambda-6358,BoxUsage,172.123,requests,0.4917,USD,DescribeInstances,SDK,us-east-1a,OnDemand,MID93566,projB,dev,,2025-03,INV297382
2025-05-22,acct-1002,us-east-1,CloudFront,cloudfront-1383,GB-Months,969.721,requests,113.6433,USD,RunInstances,CLI,eu-west-1a,Reserved,MID55848,projB,prod,,2025-05,INV985812
2025-04-03,acct-1003,ap-northeast-1,SNS,sns-6747,DataTransfer-Out,8.838,requests,0.529,USD,PutObject,CLI,us-east-1b,Spot,MID63843,projA,prod,,2025-04,INV153264
2025-05-03,acct-1003,eu-west-1,EKS,eks-3236,TimedStorage-ByteHrs,150.579,requests,28.5201,USD,Invoke,REST,us-east-1a,Spot,MID30084,projA,dev,costcenter:42,2025-05,INV430634
2025-07-29,acct-1003,ap-northeast-1,RDS,rds-4533,TimedStorage-ByteHrs,721.165,requests,142.7156,USD,DescribeInstances,CLI,us-east-1a,Reserved,MID90319,projC,dev,costcenter:42,2025-07,INV244333
2025-10-07,acct-1002,ap-northeast-1,S3,s3-8348,DataTransfer-Out,120.723,GB,$7.8281,USD,Invoke,REST,us-west-2a,OnDemand,MID14252,projA,staging,costcenter:42,2025-10,INV563664
2025-08-24,acct-1001,ap-south-1,SNS,sns-2177,TimedStorage-ByteHrs,207.286,requests,6.7946,USD,DescribeInstances,SDK,us-west-2a,OnDemand,MID38854,projB,prod,costcenter:42,2025-08,INV187015
2025-09-11,acct-1003,ap-south-1,SNS,sns-9215,BoxUsage,294.565,requests,56.606,USD,DescribeInstances,CLI,us-east-1a,Reserved,MID50216,projA,staging,costcenter:42,2025-09,INV400689
2025-06-19,acct-1001,us-west-2,ECR,ecr-3550,TimedStorage-ByteHrs,334.146,GB,49.4635,USD,GetObject,CLI,us-east-1a,OnDemand,MID34037,projB,staging,,2025-06,INV995148
2025-02-08,acct-1003,us-east-1,SQS,sqs-8823,GB-Months,27.482,requests,0.5658,USD,Invoke,SDK,eu-west-1a,Spot,MID92266,projA,dev,,2025-02,INV120888
2025-04-28,acct-1001,ap-northeast-1,EKS,eks-6429,Requests,790.95,requests,146.0149,USD,GetObject,SDK,us-east-1b,OnDemand,MID62793,projB,prod,costcenter:42,2025-04,INV669825
2025-06-06,acct-1003,ap-south-1,EC2,ec2-4099,GB-Months,311.446,hours,26.0647,USD,DescribeInstances,REST,eu-west-1a,Spot,MID67487,projB,dev,,2025-06,INV828257
2025-03-04,acct-1001,us-west-2,DynamoDB,dynamodb-6265,TimedStorage-ByteHrs,482.963,requests,84.1649,USD,PutObject,SDK,eu-west-1a,Reserved,MID86732,projA,dev,owner:devops,2025-03,INV666107
2025-07-10,acct-1001,us-west-2,ECR,ecr-1561,Requests,486.731,GB,89.2403,USD,DescribeInstances,SDK,us-west-2a,Reserved,MID89026,projB,prod,owner:devops,2025-07,INV501974
2025-01-04,acct-1001,ap-northeast-1,SNS,sns-1852,Requests,797.684,requests,38.3705,USD,RunInstances,REST,us-west-2a,Spot,MID46059,projA,prod,,2025-01,INV849744
2025-06-26,acct-1003,eu-west-1,Lambda,lambda-4657,BoxUsage,620.991,requests,71.9035,USD,PutObject,SDK,us-east-1a,Spot,MID82185,projB,dev,,2025-06,INV218477
2025-01-29,acct-1001,ap-south-1,DynamoDB,dynamodb-1246,TimedStorage-ByteHrs,351.487,requests,52.4875,USD,DescribeInstances,SDK,eu-west-1a,Spot,MID93721,projC,staging,costcenter:42,2025-01,INV143043
2025-01-15,acct-1003,ap-northeast-1,S3,s3-4182,BoxUsage,227.94,GB,35.8844,USD,Invoke,SDK,us-west-2a,Spot,MID14014,projC,prod,team:alpha,2025-01,INV318289
2025-08-08,acct-1001,us-east-1,EKS,eks-1184,GB-Months,857.406,requests,151.0194,USD,Invoke,REST,eu-west-1a,Spot,MID56350,projA,prod,costcenter:42,2025-08,INV330259
2025-05-19,acct-1002,ap-northeast-1,EC2,ec2-3305,BoxUsage,187.157,hours,20.5652,USD,Invoke,REST,us-east-1b,OnDemand,MID85464,projA,prod,owner:devops,2025-05,INV979785
2025-06-07,acct-1002,us-east-1,DynamoDB,dynamodb-1167,TimedStorage-ByteHrs,247.153,requests,24.5435,USD,GetObject,REST,us-east-1b,OnDemand,MID73935,projB,staging,owner:devops,2025-06,INV353835
2025-01-03,acct-1001,us-west-2,CloudFront,cloudfront-4345,Requests,157.639,requests,$6.2495,USD,RunInstances,SDK,us-east-1b,Reserved,MID85978,projA,dev,,2025-01,INV460404
2025-10-17,acct-1001,us-east-1,SQS,sqs-7475,Requests,768.042,requests,$70.2389,USD,GetObject,CLI,eu-west-1a,OnDemand,MID95161,projA,dev,costcenter:42,2025-10,INV758202
2025-08-21,acct-1001,ap-south-1,SQS,sqs-4148,TimedStorage-ByteHrs,419.786,requests,48.6382,USD,GetObject,CLI,us-east-1b,Reserved,MID44629,projB,prod,costcenter:42,2025-08,INV594647
2025-09-28,acct-1003,ap-south-1,EKS,eks-2387,Requests,76.061,requests,,USD,RunInstances,REST,us-east-1a,OnDemand,MID18096,projA,prod,,2025-09,INV337965
2025-02-06,acct-1001,us-west-2,SQS,sqs-2031,DataTransfer-Out,287.888,requests,18.1115,USD,RunInstances,SDK,us-east-1b,Reserved,MID76677,projC,dev,,2025-02,INV108928
2025-04-05,acct-1003,us-west-2,EC2,ec2-2537,Requests,930.323,hours,150.3033,USD,GetObject,REST,us-east-1b,Reserved,MID10458,projB,dev,team:alpha,2025-04,INV396922
2025-04-07,acct-1003,ap-south-1,EKS,eks-4814,TimedStorage-ByteHrs,422.427,requests,44.534,USD,PutObject,SDK,us-west-2a,OnDemand,MID25482,projA,prod,team:alpha,2025-04,INV974292
2025-06-16,acct-1003,ap-south-1,DynamoDB,dynamodb-8211,Requests,209.551,requests,2.0252,USD,DescribeInstances,REST,us-east-1a,Reserved,MID96129,projC,prod,,2025-06,INV996628
2025-08-13,acct-1002,us-east-1,EKS,eks-1116,GB-Months,467.202,requests,38.5014,USD,RunInstances,SDK,us-east-1b,OnDemand,MID67702,projB,prod,costcenter:42,2025-08,INV259119
2025-10-10,acct-1001,us-east-1,DynamoDB,dynamodb-7217,DataTransfer-Out,676.429,requests,9.6533,USD,GetObject,CLI,us-west-2a,OnDemand,MID20621,projC,dev,team:alpha,2025-10,INV634494
2025-08-21,acct-1001,ap-south-1,SQS,sqs-4148,TimedStorage-ByteHrs,419.786,requests,48.6382,USD,GetObject,CLI,us-east-1b,Reserved,MID44629,projB,prod,costcenter:42,2025-08,INV594647
2025-03-05,acct-1001,us-east-1,S3,s3-9680,DataTransfer-Out,895.792,GB,105.033,USD,GetObject,REST,us-east-1b,Reserved,MID60232,projB,dev,costcenter:42,2025-03,INV265404
2025-03-26,acct-1001,eu-west-1,SQS,sqs-4416,TimedStorage-ByteHrs,363.841,requests,31.2704,USD,PutObject,SDK,us-east-1b,OnDemand,MID85457,projC,prod,team:alpha,2025-03,INV176022
2025-06-15,acct-1003,ap-northeast-1,CloudFront,cloudfront-2148,DataTransfer-Out,997.314,requests,76.5492,USD,PutObject,SDK,us-east-1b,Reserved,MID21275,projA,staging,owner:devops,2025-06,INV617937
2025-10-15,acct-1001,us-east-1,EKS,eks-5287,TimedStorage-ByteHrs,101.367,requests,18.9199,USD,GetObject,CLI,us-east-1b,OnDemand,MID79811,projC,prod,costcenter:42,2025-10,INV946651
2025-01-08,acct-1001,us-west-2,EKS,eks-2717,Requests,163.559,requests,16.1495,USD,GetObject,SDK,us-east-1a,Spot,MID87198,projB,dev,,2025-01,INV942068
2025-08-10,acct-1001,ap-south-1,Lambda,lambda-9809,DataTransfer-Out,975.891,requests,154.4753,USD,PutObject,CLI,eu-west-1a,Spot,MID69509,projC,prod,team:alpha,2025-08,INV578007
2025-04-04,acct-1002,us-west-2,EC2,ec2-4716,BoxUsage,343.312,hours,48.613,USD,RunInstances,CLI,eu-west-1a,Reserved,MID97597,projC,staging,costcenter:42,2025-04,INV963348
2025-06-15,acct-1002,eu-west-1,SNS,sns-9490,GB-Months,565.898,requests,100.2406,USD,Invoke,REST,eu-west-1a,Spot,MID98703,projC,prod,team:alpha,2025-06,INV524772
2025-02-09,acct-1003,us-west-2,EC2,ec2-4760,DataTransfer-Out,211.582,hours,16.0649,USD,RunInstances,SDK,us-east-1b,OnDemand,MID25523,projB,prod,,2025-02,INV384449
2025-03-18,acct-1002,eu-west-1,EC2,ec2-1093,Requests,131.439,hours,14.3243,USD,DescribeInstances,SDK,us-west-2a,Spot,MID62551,projC,dev,costcenter:42,2025-03,INV911122
2025-07-07,acct-1003,ap-south-1,DynamoDB,dynamodb-4827,GB-Months,702.58,requests,$39.0313,USD,PutObject,SDK,eu-west-1a,Spot,MID29396,projC,prod,,2025-07,INV151452
2025-01-13,acct-1003,ap-northeast-1,DynamoDB,dynamodb-1543,BoxUsage,213.418,requests,27.0569,USD,GetObject,SDK,us-east-1a,OnDemand,MID86311,projB,prod,team:alpha,2025-01,INV280703
2025-07-30,acct-1002,eu-west-1,EKS,eks-5474,TimedStorage-ByteHrs,351.119,requests,67.5352,USD,RunInstances,REST,us-west-2a,Reserved,MID80637,projC,prod,owner:devops,2025-07,INV196330
2025-01-16,acct-1001,eu-west-1,SQS,sqs-3572,Requests,492.311,requests,78.1091,USD,PutObject,REST,us-east-1a,OnDemand,MID74499,projA,prod,team:alpha,2025-01,INV454495
2025-03-04,acct-1001,ap-northeast-1,EC2,ec2-2901,BoxUsage,367.966,hours,72.719,USD,PutObject,SDK,us-east-1b,Spot,MID52482,projC,staging,costcenter:42,2025-03,INV518526
2025-08-15,acct-1002,us-west-2,EKS,eks-3881,Requests,641.416,requests,59.3943,USD,RunInstances,SDK,us-east-1a,OnDemand,MID82147,projA,prod,team:alpha,2025-08,INV913846
2025-10-02,acct-1001,ap-south-1,CloudFront,cloudfront-4805,Requests,997.601,requests,18.4133,USD,Invoke,SDK,us-east-1b,Reserved,MID84497,projC,prod,team:alpha,2025-10,INV150745
2025-04-17,acct-1001,ap-northeast-1,SNS,sns-6385,Requests,928.604,requests,$88.6835,USD,Invoke,REST,us-east-1b,OnDemand,MID68824,projA,staging,team:alpha,2025-04,INV786472
2025-10-16,acct-1001,eu-west-1,S3,s3-4053,DataTransfer-Out,153.07,GB,$1.1313,USD,PutObject,SDK,eu-west-1a,Reserved,MID98632,projA,prod,owner:devops,2025-10,INV611885
2025-01-05,acct-1001,us-west-2,RDS,rds-8944,GB-Months,149.142,requests,16.4113,USD,DescribeInstances,REST,us-east-1a,OnDemand,MID52063,projA,dev,owner:devops,2025-01,INV231401
2025-06-19,acct-1001,us-west-2,ECR,ecr-3550,TimedStorage-ByteHrs,334.146,GB,49.4635,USD,GetObject,CLI,us-east-1a,OnDemand,MID34037,projB,staging,,2025-06,INV995148
2025-04-13,acct-1001,ap-south-1,EKS,eks-8633,DataTransfer-Out,260.037,requests,36.5234,USD,PutObject,REST,eu-west-1a,Spot,MID22264,projB,dev,costcenter:42,2025-04,INV801546
2025-02-28,acct-1003,us-west-2,CloudFront,cloudfront-5143,BoxUsage,977.552,requests,124.4864,USD,DescribeInstances,SDK,us-west-2a,Reserved,MID24904,projA,dev,team:alpha,2025-02,INV319561
2025-03-30,acct-1003,eu-west-1,RDS,rds-8062,TimedStorage-ByteHrs,88.583,requests,8.6709,USD,RunInstances,CLI,us-east-1a,Spot,MID96336,projC,dev,owner:devops,2025-03,INV516398
2025-07-15,acct-1001,ap-south-1,CloudFront,cloudfront-2042,DataTransfer-Out,949.983,requests,87.8943,USD,Invoke,SDK,us-west-2a,Spot,MID57843,projA,dev,owner:devops,2025-07,INV465036
2025-09-14,acct-1003,us-west-2,S3,s3-8795,DataTransfer-Out,,GB,,USD,DescribeInstances,REST,us-east-1a,Reserved,MID11052,projA,staging,owner:devops,2025-09,INV286960
2025-02-07,acct-1003,ap-northeast-1,DynamoDB,dynamodb-1466,TimedStorage-ByteHrs,839.831,requests,58.3755,USD,DescribeInstances,SDK,us-east-1b,Reserved,MID53408,projB,staging,,2025-02,INV684849
2025-05-03,acct-1003,ap-northeast-1,SQS,sqs-6549,BoxUsage,656.815,requests,4.9901,USD,PutObject,SDK,eu-west-1a,Reserved,MID52389,projB,staging,costcenter:42,2025-05,INV115688
2025-02-02,acct-1001,ap-south-1,ECR,ecr-4410,GB-Months,843.63,GB,24.7538,USD,RunInstances,CLI,us-west-2a,OnDemand,MID25850,projA,dev,team:alpha,2025-02,INV213702
2025-01-04,acct-1003,us-east-1,ECR,ecr-6511,TimedStorage-ByteHrs,261.768,GB,14.277,USD,Invoke,CLI,eu-west-1a,Spot,MID47212,projC,staging,owner:devops,2025-01,INV307836
2025-01-18,acct-1003,us-west-2,RDS,rds-2941,BoxUsage,47.781,requests,3.2553,USD,GetObject,CLI,us-east-1b,Reserved,MID76380,projB,staging,,2025-01,INV515698
2025-09-06,acct-1001,us-west-2,Lambda,lambda-8495,GB-Months,809.477,requests,135.4762,USD,Invoke,REST,eu-west-1a,OnDemand,MID34972,projC,staging,costcenter:42,2025-09,INV859605
2025-05-10,acct-1001,ap-northeast-1,S3,s3-3010,Requests,587.287,GB,6.5944,USD,RunInstances,REST,us-east-1b,Reserved,MID33971,projC,dev,costcenter:42,2025-05,INV970564
2025-10-02,acct-1003,us-east-1,DynamoDB,dynamodb-4055,DataTransfer-Out,451.566,requests,56.4188,USD,GetObject,REST,us-east-1a,OnDemand,MID52072,projB,prod,team:alpha,2025-10,INV713544
2025-06-15,acct-1003,us-east-1,DynamoDB,dynamodb-5506,BoxUsage,45.912,requests,8.8614,USD,PutObject,SDK,eu-west-1a,Spot,MID94226,projB,prod,team:alpha,2025-06,INV785027
2025-02-07,acct-1002,us-east-1,RDS,rds-1444,DataTransfer-Out,33.82,requests,6.5887,USD,GetObject,CLI,eu-west-1a,Spot,MID91476,projA,dev,team:alpha,2025-02,INV899019
2025-10-13,acct-1002,ap-northeast-1,EKS,eks-3432,DataTransfer-Out,55.31,requests,3.6414,USD,RunInstances,CLI,us-east-1a,Reserved,MID35016,projC,prod,,2025-10,INV654447
2025-05-24,acct-1001,eu-west-1,SQS,sqs-5660,GB-Months,627.879,requests,115.8322,USD,PutObject,REST,us-east-1a,Reserved,MID59391,projB,prod,team:alpha,2025-05,INV202134
2025-01-13,acct-1003,ap-northeast-1,DynamoDB,dynamodb-1543,BoxUsage,213.418,requests,27.0569,USD,GetObject,SDK,us-east-1a,OnDemand,MID86311,projB,prod,team:alpha,2025-01,INV280703
2025-03-29,acct-1001,eu-west-1,EKS,eks-4457,TimedStorage-ByteHrs,876.221,requests,106.8737,USD,Invoke,CLI,us-east-1a,Spot,MID34223,projC,staging,,2025-03,INV452126
2025-06-03,acct-1001,ap-south-1,RDS,rds-8120,TimedStorage-ByteHrs,,requests,109.7208,USD,RunInstances,SDK,us-east-1a,Reserved,MID55813,projA,prod,owner:devops,2025-06,INV897144
2025-10-18,acct-1001,eu-west-1,DynamoDB,dynamodb-6894,BoxUsage,454.277,requests,72.995,USD,RunInstances,CLI,eu-west-1a,OnDemand,MID64450,projC,prod,,2025-10,INV510875
2025-06-26,acct-1002,eu-west-1,S3,s3-9002,DataTransfer-Out,753.92,GB,45.344,USD,RunInstances,CLI,us-east-1a,Spot,MID49892,projB,dev,costcenter:42,2025-06,INV139147
2025-01-02,acct-1001,us-west-2,EKS,eks-8633,TimedStorage-ByteHrs,253.315,requests,18.0025,USD,PutObject,SDK,us-west-2a,Reserved,MID98235,projA,staging,owner:devops,2025-01,INV334419
2025-02-09,acct-1003,eu-west-1,S3,s3-2900,BoxUsage,768.95,GB,128.5699,USD,Invoke,SDK,us-west-2a,OnDemand,MID55222,projB,dev,team:alpha,2025-02,INV231976
2025-10-13,acct-1001,ap-south-1,RDS,rds-9671,DataTransfer-Out,375.659,requests,17.7196,USD,RunInstances,REST,us-east-1a,OnDemand,MID59221,projA,staging,,2025-10,INV742176
2025-03-04,acct-1002,us-east-1,S3,s3-6402,GB-Months,639.349,GB,$56.8155,USD,Invoke,REST,eu-west-1a,OnDemand,MID22319,projB,prod,team:alpha,2025-03,INV360954
